company_name,stand_no,description,profile_url,website
Abacus Consulting Technology Limited,"Stand No- CC1-60-1, Concourse 1","Abacus, a global professional services leader, specializes in top-tier Technology, Outsourcing, and Consulting solutions. As tech pioneers, we drive digital transformation through AI, Blockchain, Cloud Computing and Enterprise sol ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/abacus-consulting-technology-limited,https://abacus-global.com/
Abcom Distribution LLC,"Stand No- H4-A41, Hall 4","Abcom Distribution LLC, headquartered in Dubai, UAE, is a premier distributor of advanced Audio Visual (AV) and IT solutions, established in 2005. Serving diverse sectors including corporate, education, government, healthcare, liv ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/abcom-distribution-llc,https://abcom.ae
ABSYZ SOFTWARE CONSULTING DMCC,"Stand No- H8-20, Hall 8","ABSYZ, recognized as a Salesforce Summit Partner, stands among the fastest-growing pure-play Salesforce consulting firms. Its Summit status reflects consistent excellence in delivering transformative solutions and driving innovati ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/absyz-software-consulting-dmcc,https://www.absyz.com/
ABZ Innovation,"Stand No- H1-C40, Hall 1","ABZ Innovation specializes in developing and manufacturing heavy-duty action drones for various sectors. Their drones, built with European R&D and manufacturing standards, offer efficient, customizable solutions for tasks like spr ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/abz-innovation,https://www.abzinnovation.com
Acceleronix B.V.,"Stand No- H1-A10, Hall 1","Acceleronix is a global IoT solutions and services provider primarily focused on serving OEMs and
enterprises. Providing a broad portfolio of connected modules, edge-device software, vertical
platforms and mobile applications, Acc ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/acceleronix-bv,https://www.acceleronix.io/
Accent Gulf Computers LLC,"Stand No- H1-28, Hall 1","Accent’ is currently a Partner with HP and DIRECTLY
associated with other brands like Acer, Lenovo, Canon, Brother, APC, Lexmark and many more. Our product range includes Laptops, Desktops, Printers, Ink and Toners, All in Ones, ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/accent-gulf-computers-llc,https://www.accent.ae
ACCENT INFO MEDIA GROUP - INDIA,"Stand No- H15-132, Hall 15","Accent Info Media, is a leading Media house, specialized in IT and Telecom events-led marketing and communications services.
With two decades of proven success and experience, . 
Our specialized industry publications influence and ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/accent-info-media-group---india,https://www.accentinfomedia.com
ACE Forum Inc.,Stand No- AGENT,ACE FOURM,https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ace-forum-inc,https://www.aceforum.com.tw
Acer Europe SA,"Stand No- H3-C20, Hall 3","Founded in 1976, Acer is one of the world's top ICT companies with a presence in more than 160 countries. As Acer evolves with the industry and changing lifestyles, it is focused on enabling a world where hardware, software and se ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/acer-europe-sa,http://www.acer.ae
Achiever Computers FZCO,"Stand No- H2-B60, Hall 2","Achiever Computers, established in 2003 in Dubai-UAE, is one of the leading IT companies and top vendors in the Middle East. Guided by a direct, transparent, and flexible approach, we value customer feedback and honor our commitme ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/achiever-computers-fzco,https://WWW.ACL.AE
Aclas,"Stand No- H15-F20, Hall 15","Pinnacle Technology Corp is a global leading manufacturer of Fiscal Devices, Retail Scales, Point of Sale, Receipt Printer, and other POS Peripherals in the ACLAS brand. With its inception in 1984 in Taipei, Pinnacle has developed ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aclas,https://www.aclas.tw
ACPM IT,"Stand No- H1-C40, Hall 1","ACPM IT Consulting Ltd. is a Hungarian company headquartered in Budapest. Our areas of expertise include information and cybersecurity consulting, offensive security testing (VAPT), compliance with legal and regulatory standards,  ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/acpm-it,https://www.acpmit.com
Acronis International GmbH - CH,"Stand No- H25-B40, Hall 25","Acronis is a global cyber protection company that provides natively integrated cybersecurity, data protection, and endpoint management for managed service providers (MSPs), small and medium businesses (SMBs), and enterprise IT dep ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/acronis-international-gmbh---ch,https://www.acronis.com/en-us/#sp
Actility / Kerlink,"Stand No- H24-E20B, Hall 24","Actility is a global leader in industrial LPWAN IoT connectivity, powering national and enterprise networks in over 50 countries and connecting millions of devices. As co-author of LoRaWAN®, Actility enables secure, scalable, and ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/actility--kerlink,https://www.actility.com
Actual I.T. D.D.,"Stand No- H1-B60, Hall 1","ACTUAL I.T. is a group of companies that specializes in system integration and process digitization in transportation, logistics, port systems, and gas station solutions. With more than 30 years of tradition and proprietary IT sol ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/actual-it-dd,https://www.actual-it.si
Adaptive Recognition,"Stand No- H1-C40, Hall 1","Adaptive Recognition is at the forefront of transforming industries through the power of intelligent character recognition. Our journey began with a vision to harness technology for the greater good, and today, we stand as a globa ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/adaptive-recognition,https://www.adaptiverecognition.com
ADDITESS ADVANCED INTERGRATED TECHNOLOGY SOLUTIONS & SERVICES LTD,"Stand No- H13-C01, Hall 13","ADDITESS – Advanced Integrated Technology Solutions & Services Ltd – is a Cyprus-based SME founded in 2011. It specializes in research, consulting, and innovation, conducting studies and developing advanced security solutions  ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/additess-advanced-intergrated-technology-solutions--services-ltd,https://additess.com/
ADIN.AI,"Stand No- H14-B60, Hall 14","Adin.ai is the AI Operating System for Digital Marketing, trusted by global brands such as L’Oréal, Vodafone, Under Armour, Turkiye Is Bank, Akbank, and Pluxee. Since December 2023, we’ve powered 100K+ campaigns, driving resu ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/adinai,https://www.adin.ai/
Adria Business & Technology,"Stand No- H13-B20, Hall 13","Adria Business & Technology: Pioneer in Digital Banking
Based in Casablanca, Adria Business & Technology has been driving the digital transformation of banks and financial institutions for over 20 years. Operating in more than 20  ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/adria-business--technology,https://adria-bt.com/en/
Adtran,"Stand No- H1-C60, Hall 1","Adtran is a leading global fiber networking provider focused on open, disaggregated fiber access platforms, intelligent SaaS applications and connected home solutions. With the merger of ADVA, the portfolio expands to include open ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/adtran,https://www.adtran.com
Advance Solutions,"Stand No- H3-B30, Hall 3",ServiceNow Elite Partner,https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/advance-solutions,https://www.advancesolutions.com
Advanced Communications & Electronics Systems Co (ACES,"Stand No- H14-B22, Hall 14","ACES is operating as a Neutral Host Operator in Saudi Arabia with a Wholesale infrastructure license from CITC and India with UL/VNO Category B license from DoT. As a Neutral Host Operator, the company services the demand for IBS  ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/advanced-communications--electronics-systems-co-aces,https://www.aces-co.com
Advanced Electronics Company,"Stand No- H19-A40, Hall 19","SAMI Advanced Electronics Company (SAMI-AEC) is a regional leader in electronics manufacturing and AI-driven smart technology solutions. By integrating proven manufacturing excellence with next-generation artificial intelligence,  ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/advanced-electronics-company,https://www.aecl.com/ar/
Advanced Innovation Trading Company,"Stand No- H14-A25, Hall 14",Morni is the one-stop solution for all corporate wide logistical challenges. Morni's business clients are the most beneficiaries of the smart solutions that has created. The goal is to reduce human interference and automate all  ...,https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/advanced-innovation-trading-company,https://maps.app.goo.gl/EC4z5nFWxpakiQff7
Aegasis Labs,"Stand No- CC1-60, Concourse 1","Aegasis Labs is an AI-first software development company specializing in building intelligent, future-ready solutions for enterprises and startups. With expertise across Generative AI, machine learning, cloud engineering, and cust ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aegasis-labs,https://www.aegasislabs.com
AFRITECHIA,"Stand No- H13-B20, Hall 13","AfriTechia is a Moroccan technology and media group headquartered in Casablanca, recognized as a pioneer in customer experience and smart mobility solutions. Through its subsidiaries—iTECHiA Technology, iTECHiA TV, and iTECHiA S ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/afritechia,https://www.afritechia.com
AG TECH LLP,"Stand No- H14-D30, Hall 14","AG TECH is a qualified supplier of industrial automation systems, innovative software and hardware solutions, IT infrastructure support services, business analytics and design.

The flagship product of AG TECH is the Digital Monit ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ag-tech-llp,https://ag-tech.kz/
AGENTS STACK,"Stand No- H1-B24, Hall 1",Agents Stack is a full-stack AI consulting firm and technology platform primarily focused on providing enterprise-grade AI agent solutions. The company offers a low-code platform that allows organizations to build and deploy custo ...,https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/agents-stack,https://agentsstack.com/
AgentSense,"Stand No- H2-C30, Hall 2","AgentSense is a technology company offering AI solutions that help businesses make sense of data, automate processes, and make better decisions faster. Our intelligent agents work across legal, compliance, sales, operations, and m ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/agentsense,https://www.agentsense.ai
"AGI TECHNOLOGY CO., LTD.","Stand No- H13-18, Hall 13","About AGI-
Founded in 2018, AGI Technology (Agile Gear International) is a Taiwan Province, People's Republic of Chinaese brand committed to developing high-performance storage solutions that combine speed, stability, and reliabil ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/agi-technology-co-ltd,https://agi-gear.com/
Agile Agilist,"Stand No- H2-C30, Hall 2","We transform enterprises with innovation and Scaled Agile practices to lead technology change at scale. Our services combine consulting, training, and coaching to accelerate adoption of new technologies, modernize operations, and  ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/agile-agilist,https://www.agile-agilist.com
AgileSoftLabs,"Stand No- H14-P02, Hall 14","AgileSoftLabs is a trusted global technology partner with 10+ years of experience, delivering 100+ successful solutions across industries like retail, logistics, healthcare, education, e-commerce, and manufacturing. We operate wit ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/agilesoftlabs,https://www.agilesoftlabs.com/
agilimo Consulting GmbH,"Stand No- H2-C18, Hall 2","agilimo supports national and international customers with IT Security Made in Germany. 
Our high-performance, scalable solutions are tailored to the Gulf States' requirements for digital sovereignty, keeping data in?country and u ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/agilimo-consulting-gmbh,https://agilimo.de/?lang=en
AGM MOBLIE,"Stand No- H12-14, Hall 12","AGM has kept focus on developing and manufacturing rugged mobile devices for outdoor enthusiasts or practitioners, and aim to encourage them to conquer their daily challenges calmly, confidently and safely.

Back in 2008, a group  ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/agm-moblie,https://www.agmmobile.com
AGrandTech Limited,"Stand No- H20-19, Hall 20","AGrandTech Limited, founded in 2015, is a global provider of mobile core network products and solutions for telecommunication operators and enterprises worldwide, covering 2G, 3G, 4G, 5G NSA/SA, and IMS. Designed with a modular an ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/agrandtech-limited,https://www.agrandtech.com/
AGRIVI,"Stand No- H1-B30, Hall 1","AGRIVI is agritech company transforming global food production with AI-powered digital agriculture solutions. Its mission is to empower farmers and agrifood businesses by enabling the digitalization of farm operations, improving p ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/agrivi,https://www.agrivi.com/
"AHA Co., Ltd.","Stand No- H4-1, Hall 4","AHA Co., Ltd., founded in 1995, is a leading South Korean manufacturer specializing in education and enterprise digital solutions. Our core business centers on Interactive Flat Panel Displays (IFPDs)—large-format touchscreens wi ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aha-co-ltd,https://www.i-aha.com
AI School LLP,"Stand No- H14-D30, Hall 14","AI School is a global EdTech platform and AI solutions lab. Since our inception, we have united ambitious professionals from over 65 countries, creating one of the fastest-growing Russian-speaking AI communities worldwide. 
Our ec ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ai-school-llp,https://kz.aischool.me/
AI Solutions,"Stand No- H26-20K, Hall 26","AI Solutions is a visionary financial solutions provider, empowering organizations to succeed in their digital transformation journeys. Integrating cutting-edge technologies, we are advancing enterprises to innovate and dominate t ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ai-solutions,https://www.aisolutions.bg/
AI71,"Stand No- Silver Sponsor, Sponsor","AI71 builds AI products and advisory services designed for real-world impact, bringing intelligence that works to enterprises and governments.

Our flagship platform, Ask71, empowers knowledge workers to find answers, automate wor ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ai71,https://ai71.ai/
AI71- L.L.C. – O.P.C,"Stand No- H8-A20, Hall 8","ai71 builds AI products and advisory services designed for real-world impact, bringing intelligence that works to enterprises and governments.

Our flagship platform, Ask, empowers knowledge workers to find answers, automate workf ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ai71--llc--opc,https://ai71.ai
"AiGather Intelligent Technology Co., Ltd","Stand No- H15-E56, Hall 15","AiGather is a leading barcode scanner manufacturer and solutions provider in China, its R&D team has over 20 years industry experience, and always focus on the research and development of vision and image recognition technology. O ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aigather-intelligent-technology-co-ltd,https://www.aigather.com
Ailat,"Stand No- H14-D30, Hall 14",Islamic Fintech,https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ailat,https://ailat.kz/
"AiM Future, Inc.","Stand No- H2-D32, Hall 2","AiM Future is an innovative company designing next-generation on-device AI semiconductors. Originating from LG Electronics’ research lab, it has rapidly gained global competitiveness. With its proprietary ultra-low-power AI engi ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aim-future-inc,https://aimfuture.ai/en/
"Aimagine Care Technology Co., Ltd","Stand No- H14-A60, Hall 14","A Forbes Asia “100 companies to Watch” company who specializes in the research and development of artificial intelligence technologies in laboratory diagnostics,  the production of related diagnostics hardware and provision of ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aimagine-care-technology-co-ltd,http://www.xiaoyingai.com/en
Aion Sentia Ltd,"Stand No- H20-B05, Hall 20","My Maia is the first music and artistique LLM generation application. MyMaia (also stylized as Maia) is an all-in-one AI platform that integrates multiple generative and assistant capabilities into one interface. 
 Its goal is to  ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aion-sentia-ltd,http://www.mymaia.ai
Airia,"Stand No- H3-C45, Hall 3","Airia revolutionizes enterprise AI adoption with our innovative platform, integrating advanced models and data sources to streamline workflows into AI-powered agents and assistants. Our platform ensures robust security and respons ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/airia,https://airia.com
AirPro Technology India Pvt Ltd,"Stand No- H21-05, Hall 21","AirPro Technology Ltd. was established in 2007 by a group of highly motivated individuals having a rich experience in providing high class networking solutions. 
AirPro has its in-house R&D unit which specializes in design, develo ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/airpro-technology-india-pvt-ltd,https://airpronetworks.com/
Airtool,"Stand No- H26-A81, Hall 26","Airtool is a full-stack business technology platform designed to empower both developers and business teams.
For developers, Airtool provides a low-code environment with the flexibility to customize, extend, and integrate applicat ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/airtool,http://www.airtool.io
Aislelabs,"Stand No- H5-3, Hall 5","At Aislelabs, we are constantly looking for new and innovative ways to aid and empower the Built-Environment Marketer, turning WiFi from a cost center to a profit center. We do that by actively helping you deanonymize visitors, gi ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aislelabs,https://www.aislelabs.com/
aitnews,"Stand No- H19-1, Hall 19","AITnews is the leading Arabic technology news portal, delivering timely, reliable, and in-depth coverage of the latest innovations in the world of technology. Since its launch, the platform has become a trusted source for millions ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aitnews,https://aitnews.com
AJAOM MOBILES FZCO,"Stand No- GSM-O10, Hall 11",Ajaom.com is a specialist electronics and gadgets. It was established in 2022 by long time electronic traders who want to provide the best electronic gadget experience to end-users. Our deep interest in technological advances keep ...,https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ajaom-mobiles-fzco,https://www.ajaom.com/
Ajman Bank,"Stand No- H1-D05, Hall 1","Established in 2007, Ajman Bank was the first Islamic bank incorporated in Ajman. While its shares were listed on the Dubai Financial Market in February 2008, the bank officially began operations in 2009 from two branches in Ajman ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ajman-bank,https://www.ajmanbank.ae
Ajman Chamber,"Stand No- H19-A60, Hall 18",,https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ajman-chamber,https://www.ajmanchamber.ae/en/
Ajman Municipality and Planning Department,"Stand No- H19-A60, Hall 18",,https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ajman-municipality-and-planning-department,https://www.am.gov.ae
Ajman Police General Headquarters,"Stand No- H19-A60, Hall 18",,https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ajman-police-general-headquarters,http://www.ajmanpolice.gov.ae
Ajman Ports & Customs,"Stand No- H19-A60, Hall 18",,https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ajman-ports--customs,
AKTAWA,"Stand No- H23-D20, Hall 23","AKTAWA is the world's only integrated platform 
covering the entire international trade cycle
- from supplier discovery to payment, delivery and 
customs clearance. Our hybrid model combines
- ?cutting-edge digital technology with ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aktawa,https://aktawa.com/
Al Amthal Group B.S.C Closed,"Stand No- H20-A10, Hall 20","Al Amthal Group is a leading software and IT service provider established in 2000, dedicated to delivering innovative and reliable IT solutions. With expertise in e-commerce, cloud applications, ERP systems, and financial technolo ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/al-amthal-group-bsc-closed,https://www.amthalgroup.com/
Al Babtain LeBLANC Emirates Telecommunication Systems LLC,"Stand No- H16-11, Hall 16","Al Babtain LeBlanc Emirates is a regional leader in telecom infrastructure, known for delivering comprehensive turnkey solutions across the UAE and beyond. Building on a strong legacy in telecom networks, the company is now expand ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/al-babtain-leblanc-emirates-telecommunication-systems-llc,https://www.albabtain.ae
Al Hussein Technical University,"Stand No- H14-9, Hall 14","Located in the heart of King Hussein Business Park, Al Hussein Technical University (HTU), established by the Crown Prince Foundation, is a pioneering institution addressing the gap between technical graduates and employment oppor ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/al-hussein-technical-university,https://htu.edu.jo/
Al Jammaz Technologies,"Stand No- H2-A20, Hall 2","AlJammaz Technologies is the leading Value Added Technology Distributor in the GCC and the Middle East, which distributes advanced technology products, solutions and services in the areas of Data centers, infrastructure, cloud, Io ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/al-jammaz-technologies,https://www.al-jammaz.com
Al jazeera Soft,"Stand No- H10-13, Hall 10","Al Jazeera Soft has more than 14 years of experience in developing and building software and applications. It has products called Max Pro ERP that contain more than one system and application, serving all commercial, industrial an ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/al-jazeera-soft,https://www.aljazeerasoft.com
Al Manar For Audivisual Media Production,"Stand No- H14-A23, Hall 14","CyberX is a leading modern digital platform that provides rich content in Arabic to increase cybersecurity awareness and digital knowledge to all relevant audiences. 

We provide 360° cybersecurity awareness; our services include ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/al-manar-for-audivisual-media-production,https://cyberx.world/
Al Maria Computer Trading L.L.C. - AE,"Stand No- H15 - D20, Hall 15","Gadgetz by Al Maria Computer Trading Co. LLC is your premier destination for consumer electronics, offering a wide range of smartphones, laptops, tablets, audio systems, smartwatches, gaming gear, smart home devices, and essential ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/al-maria-computer-trading-llc---ae,https://www.gadgetz.ae
Al Masaood LLC,"Stand No- H26-C96, Hall 26","Al Masaood Power Division delivers advanced power solutions across the Middle East for marine, industrial, commercial, and energy applications. With decades of experience and a portfolio of global brands, we provide reliable, effi ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/al-masaood-llc,https://www.masaoodpower.com
Al Nahal IT Park & Data Center,"Stand No- CC1-60, Concourse 1","Al Nahal Private Limited is pioneering Pakistan’s digital future with an IT Park and Tier III+ modular data center campus in Sindh Education City. Launching with 10 MW, scalable to 50+ MW, it offers secure, green infrastructure  ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/al-nahal-it-park--data-center,https://alnahal.com.pk
Al Nahar Royal FZCO,"Stand No- GSM-M114, Hall 11","Al Nahar Plus Company started in 2008
with a powerful vision geared towards
the future of electronics.
• A wholesaler for main electronics in
Kuwait, we have been providing the best
and the latest smart phones and tablets.
Trust ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/al-nahar-royal-fzco,https://alnaharpluskwt.com/
