company_name,website,contact_email,contact_call
AQUILA I  - FZCO,https://aquilai.io/,info@aquilai.io,
ARAB FINANCIAL SERVICES CO. B.S.C.,https://www.arabfinancialservices.ai/en,merchants.afs@afs.com.bh,+973 1729 0333
Arabian Business,https://www.arabianbusiness.com,info@itp.com,+971 4 444 3000
Arabic.AI,https://www.arabic.ai,partners@arabic.ai,+971 568884159
"Aram Huvis Co., Ltd.",https://www.aramhuvis.com,info@aramhuvis.com,031 732 6320
Arctera Operations Limited,https://www.arctera.io,,
Areen Solutions (Areen Tech,https://www.areentech.co/,info@areentech.co,+966577423793
Argusa,https://www.argusa.ch,info@argusa.ch,+41 21 888 78 68
Arinlabs Yapay Zekâ Teknolojileri A.Ş.,https://www.arinlabs.com,info@arinlabs.com,+90 312 219 59 80
ARIS,https://www.aris.com,,
Arksigner Yazilim Ve Donanim San. Tic. A.Ş.,https://www.arksigner.com,satis@arksigner.com,444 0 276
"ARLAN BIOTECH, Inc.",https://arlanbiotech.com/,,
ARNA TECHNOLOGY GROUP Inc,https://www.arnatechgroup.com,,
"Aroot Co., Ltd",https://www.miniprinter.com/eng/,sales@miniprinter.com,+82-31-8077-5000
"ARpedia / Woongjin Thinkbig Co., Ltd.",https://www.arpediabook.com,arpedia@wjthinkbig.com,+82 02-2075-1036
ARRAY Innovation,https://www.array.world/,info@array.world,Not found on website
ArtygenSpace,https://www.artygenspace.com/artygenspace-eng-version,,
ARXivar,https://www.arxivar.com/it/,,
ASBIS Middle East,https://www.asbisme.ae,info@asbisme.ae,+971 4 8863850
ASC Technologies AG,https://www.asctechnologies.com,,
ASCANIO,https://ascanio.io/,,
askme360,https://hipl.co.in/,info@hipl.co.in,+91-124-4928 500
Aspidex,https://www.aspidex.com/,,
ASRock Rack Incorporation,https://www.asrockrack.com/general/about.asp,,
AST MIDDLE EAST DMCC,https://allstartech.net/,info@allstartech.net,+1 310 683 0412
Astra Wireless Technology FZ-LLC,https://astrawireless.net/,sales@astrawireless.net,Not found on website
Astrome Technologies Pvt Ltd,https://astrome.co/,contact@astrome.co,+91-78-92-36-13-90
astTECS GmbH,https://www.asttecs.com,,
Asura Technologies,https://asuratechnologies.com/,,
ASUS MIDDLE EAST FZCO DUBAI BRANCH,https://www.asus.com/,,
Asya,https://showcase.asya.ai,info@asya.ai,
ASYS Inc.,https://asys.kr/en/,asys@asys.kr,+82-31-420-2110
ATME B.S.C.,https://www.atme.com/,info@atme.com,
Attom Technology,https://attom.tech/,support@attom.tech,+1 301 6789 288
AUKEY,https://www.aukey.com/,pr@aukey.com,888-882-8539
AURCORE TECHNOLOGY INC.,https://www.aurcore.net/,,
AUSTIN HUGHES,https://www.austin-hughes.com,,
AV Pro DWC-LLC,https://www.avp.ae,info@avp.ae,+971 4 557 6325
Avahi Inc,https://avahi.ai/,sales@avahi.ai,+1 (415) 429-8280
AVEPOINT GULF DMCC,https://www.avepoint.com/,,
AVIENTEK FZCO,https://www.avientek.com,,
Avinika Solution Pvt. Ltd,https://www.avinikasolution.in,info@avinikasolution.in,+91-958 44 151 51
Avisto Eastern Europe,https://www.avisto-eastern.com/,contact@avisto-eastern.com,+381 (11) 450 20 50
AVITA Inc.,https://avita.co.jp/en/,,
AVM AI,https://avm-ai.kz/,alibek.abdekov2110@gmail.com,Not found
Axes Software,https://axessoftware.com/,office@axessoftware.com,+40 (21) 323 13 37
Axigen,https://www.axigen.com/,,
AXIOMIO IT SERVICES PRIVATE LIMITED,https://axiomio.com/,,323-499-3203
Axiros GmbH,https://www.axiros.com,,
AXIS ELECTRONICS,https://www.weighing.in,,
Ayvo,https://ayvo.ai/,Contact@ayvo.ai,+1 234 567 890
B2metric,https://www.b2metric.com,,
Babbar FZCO,https://babbarfzco.com/,Not Found,+971566535939
Bahrain Economic Development Board,https://www.bahrainedb.com/,emma.parsons@bahrainedb.com,+973 17 58 99 99
Baker Tilly,https://www.bakertilly.ae,,
Bakson Ltd,https://www.baksonltd.com,,
Bamboo Group,https://bamboogroup.eu,contact@bamboogroup.eu,+372 55 85 000
Barco,https://www.barco.com/,,
Barracuda,https://www.barracuda.com,,
BarTender by Seagull,https://www.bartendersoftware.com/,,
Basatne,https://www.basatne.com/,info@basatne.com,(469) 703-0949
BaseCam Electronics,https://www.basecamelectronics.com/landing/,,
BBI Information and Communication Technology LLC,https://bbi.ai/,contactus@bbi.ai,+971 4 2969 941
BCCS Cluster,https://bccs.tech/,greta.pukenyte@bccs.tech,+370 680 33980
BDO,https://www.bdo.ae,info@bdo.ae,+971 4 518 6666
Beetles Cyber Security,https://www.beetles.io/,info@beetles.io,+88 09 638 600 600
Behin Technology,https://behin.net,info@behin.net,۰۲۱-۵۹۱۴۲
BEHPOUYAN,https://www.behpouyan.ir,,
"Beijing Creative Group Co.,Ltd.",https://www.creat-gr.com/en,,
"Beijing Galbot Co., Ltd",https://www.galbot.com/,,
Beijing Go Global Hub for Digital Economy Enterprise,https://www.bjgoglobal.com,not_found,not_found
Beijing Guang'an Xuanguang,http://companywebsite.com,,
"Beijing Haixin Energy Technology Co., Ltd",https://www.hxnk.com/,,
Beijing Jasmines BioTech INC.,https://www.eye-mind.cn/,jsmz@cdjsmz.onaliyun.com,028-6704-1687
"Beijing Keen Technology Co.,Ltd.",https://keendata.com/,support@keendata.com,010-64703560
"Beijing kesino  engineering  technology co., ltd.",https://www.kesinoconsoles.com,,
"Beijing Kuangshi Technology Co., Ltd.",https://en.megvii.com/,,
"Beijing Memblaze Technology Co., Ltd.",https://www.memblaze.com/en/,contact@memblaze.com,400-650-7995
"Beijing Rossum Robot Technology Co., Ltd.",http://rossumrobot.cn,info@rossumrobot.cn,010-82209855
"Beijing Soaring Electric Technology Co., Ltd.",https://www.soaring.com.cn/en/,,
"Beijing Yvniao Technology Co., Ltd",https://www.quantumchina.com,,
Ben Infotech Telephones & Telecommunications equipment Trading LLC,https://beninfotech.ae/,info@benfze.com,+971 48872040
BEST Vision LLP,https://www.evision.kz,,
Bestvantage Investments,https://www.bestvantageinvestments.com/,raman@bestvantageinvestments.com,+91 99676 23886
Beyon,https://beyon.com,,
"BI MATRIX. Co., Ltd",https://www.bimatrix.com,global@bimatrix.co.kr,+82-2-561-4475
Big Dream Lab,https://bigdreamlab.org,,
Bigap FZCO,https://bigap.ae/,info@bigap.ae,+971509281030
"BigDataLabs Co., Ltd.",https://bigdatalabs.kr/,,
Bilkent CYBERPARK,https://www.cyberpark.com.tr/,,
Bimser,https://bimser.com/en/,,
"BINDTEC CO.,LTD",http://bindtec.kr/eng/,sales@bindtec.kr,+82-31-734-2868
Birla Cable Limited,https://WWW.BIRLACABLE.COM,info@birlacable.com,+91 7662 400580
"Birtech - Sensaway,  Noctua,",https://www.birtech.com/en/,export@birtech.com,+90 216 395 79 79
Biruni Technopark,https://www.biruniteknopark.com,info@biruniteknopark.com,0 850 640 10 01
Bitrobotics Export LLC,https://bitrobotics.com,info@bitrobotics.com,+7 495 798 08 97
BitTwoByte Technology Pvt Ltd,https://www.bittwobyte.com,contact@bittwobyte.com,8109610302
"BIXOLON CO., LTD.",https://www.bixolon.com,,
Blackbelt360,https://blackbelt360.com,info@blackbeltdefence.com,0800 321 3024
BlackBerry UK Limited,https://www.blackberry.com/,,
BlackStone AI,https://blackstoneai.io,contact@blackstoneai.io,Not found
Blackstone eIT,https://blackstoneeit.com/,,
BLOOMS GROUP FZCO,https://bloomsgroup.com/,support@bloomstel.com,+965 25722999
bluCursor,https://blucursor.com/,contact@blucursor.com,Not Found
Bluebird Inc. and TSC Auto ID Technology Co. LTD,https://www.bluebirdcorp.com/?lang=US and https://usca.tscprinters.com/en,americasales@tscus.com,+1 657 258 0808
Bluerush Inc.,https://www.bluerush.com,,
BlueStar Europe Distribution BV,https://www.bluestarinc.com,sales@bluestarinc.com,800-354-9776
BLUETEC COMPUTERS LLC,https://WWW.BLUETECCOMPUTERS.COM,,
BLUEVISOR SYSTEMS,https://bluevisor.kr,help@bluevisor.kr,+82 1855 4549
Bmorn,https://www.bmorn.com/en/,camila@bmorn.com,+8675585266966
BOOPRO TECHNOLOGY DOO,https://boopro.tech/,office@boopro.tech,+381 69 416 88 17
"Booster Robotics Technology Co., Ltd.",https://www.boosterobotics.com/,sales@boosterobotics.com,Not Found
Bora MultiCorp,https://boramulticorp.com/,contact@boramulticorp.com,+91 73969 69623
BOSTON LIMITED,https://www.Boston.co.uk,null,null
"BotPenguin: AI Agents, AI Voicebots, AI Chatbots",https://botpenguin.com/,,
Bottobo Robotics,https://www.bottobo.com,callme@bottobo.com,Not Found
BOXP,https://www.boxp.in,sales@boxpushindia.com,1800 8899 246
BOYDSENSE,https://www.boydsense.com,info@boydsense.com,
BPC Energy Limited,https://https:www.bpc-ups.com,,
BPS,https://www.bpsme.com,,
Brain Station 23 LLC,https://brainstation-23.com/?1,sales@brainstation-23.com,+1 201 534 7200
BRAIN TECHNOLOGIES,https://www.brain-tech.it/,,
Brainium Information Technologies Pvt Ltd,https://www.brainiuminfotech.com/,null,null
Branch Austin McCormick LLP,https://branchaustinmccormick.com/,Not found,Not found
Bridge Wireless Solutions Inc,https://bridge-wireless.com/,info@bridge-wireless.com,+1 888 610 4449
Bright vision components limited,https://www.bvc.com.hk/,info@bvc.com.hk,+852 3962 2293
Briskinfosec Technology and Consulting Private Limited,https://www.briskinfosec.com,,
Briticom,https://briticom.net/,,
BROADBIT BATTERIES OY,https://broadbit.com,,
BroadNet Technologies LLC,https://www.broadnet.me,,
BROTHER,https://www.brother.ae,support@brother.ae,800-2768437
BRYTN CO.,https://brytn.co.kr,,
"BTC SECU CO., LTD.",https://www.btcsecu.co.kr/en,,
BugBounty,https://bugbounty.sa/,,
Bulwark Technologies L.L.C.,https://bulwark.biz/,info@bulwark.biz,+971 4 3335040
BUSINESS EXPERTS M E A L.L.C,https://www.bemea.com/,,
Business Line,https://www.businesslineglobal.com,,
Buyutech,https://www.buyutech.com.tr,info@buyutech.com.tr,+90 312 386 23 38
BVI Hong Kong Office,https://www.bvihongkongoffice.com.hk/en/,bvihongkongoffice@bvihouseasia.com.hk,(852) 3468 8530
C4Line Co.,http://www.c4line.com,info@c4line.com,+82 70 4100 8847
CAC - YESAUTOMATE,https://www.cac.net.in/,info@cac.net.in,+91-9811118031
CALIBERFOCUS BUSINESS SOLUTIONS PRIVATE LIMITED,https://www.caliberfocus.com,info@caliberfocus.com,+1 321 352 3484
Calidad,https://www.calidad.com.au,xSTsair@calidat.com.au,+61 2 9357 1355
CALLANYWHERE,https://callanywhere.co.in,amar@callanywhere.co.in,+91-9717782166
Cambridge Industries USA Inc,https://www.cigtech.com,nasales@cigtech.com,+1(408) 606-2200
Canakkale Teknoloji Gelistirme Bolgesi A.S.,https://www.canakkaleteknopark.com,info@canakkaleteknopark.com,+90(286) 295 30 00
CapitalNumbers Infotech Limited,https://www.capitalnumbers.com,info@capitalnumbers.com,+91 33 6799 2222
Cardline UAE,https://www.cardlineuae.com,info@cardlineuae.com,+971551189793
Carma,https://www.joincarma.com/,,
CarMonitor,https://carmonitor.eu,,
CASTLE ADVANCED TECHNOLOGIES & SYSTEMS PVT. LTD.,https://www.dr-t.ai,info@cats-global.com,+91 8898231923
Cavintek Software Private Limited,https://www.cflowapps.com,info@cflowapps.com,+1-858-408-5025
CDN Software Solutions Pvt Ltd,https://www.cdnsol.com/,contact@cdnsol.com,+1-702-291-1339
cdnnow,https://cdnnow.pro,sales@cdnnow.pro,8 (800) 600-67-88
CE LINK LIMITED,https://www.ce-link.com/home,market@ce-link.com,+86-769-89920666
Celebal Technologies,https://celebaltech.com/,,
Cell Axis FZE,https://www.intracelltelecom.com,,
Cell Nation FZE - AE,HTTPS://cellnationfze.com,info@cellnationfze.com,+971 4 2950 445
Celltech (HK) Limited,https://www.celltech.com.hk,info@celltech.com.hk,+852 3116 2500
Celltel Middle East FZCO,https://celltel.ae/,info@celltel.ae,+971-554972572
Cellutech FZCO,https://cellutechfzco.com/,marketing@cellutechfze.com,+971 4 2 323 070
Cerebra,http://cerebra.sa,Hala@cerebra.sa,+966540517633
Cerebra.AI Ltd,http://cerebraai.ai,info@cerebraai.ai,Not found on website
Cerebras Systems Inc,https://www.cerebras.ai/,,
Cerebrocure Technologies Pvt Ltd,https://cerebrocure.ai,info@cerebrocure.ai,+92 322 4774095
Cestel d.o.o.,https://cestel.si/en/,info@cestel.si,+386 1 568 17 19
CET Electric Technology Inc,https://global.cet-electric.com/sg,sg@cet-electric.com,+65-66697158
Cetas Information Technology FZCO,https://cetastech.com/,sales@cetastech.com,+1 704 243 8171
"Changkun Technology (Shenzhen) Co., Ltd.",https://www.quanji-tech.com,,
"Changsha Byintek Electronics Co., Ltd",https://www.byintek.com,one@byintek.com,+86 198 9284 1516
"Changzhou CO-NET Electronic Technology Co., Ltd",https://www.conetfiber.com,export@conetfiber.com,+86-519-89197819
"Changzhou LINKET Electronic Technology Co., Ltd",https://www.linketchina.com,,
Check Point Software Technologies,https://www.checkpoint.com,,
"Chengdu Huajing Communication Equipment Co., Ltd.",https://www.huajingfiber.com,sale@huajingfiber.cn,+86-28-84129481
"Chengdu NEWTRON Technology Co., Ltd.",https://www.newtron-tech.com/,marketing@newtron-tech.com,+8618608017948
"Chengdu Tengting Technology Co., Ltd.",https://rosetechnics.com/,marketing@rosetechnics.com,+86-19180852983
"Chengdu ZengHong Sci-Tech Co., Ltd.",http://www.touchdisplays-tech.com/,info@touchdisplays-tech.com,+86 13980949460
Chicago Phones Wholesale LLC,https://cpwmobiles.com/,,
ChicMic Studios,https://www.chicmicstudios.in/,,
China Electronics Information Services Co LTD.,https://www.cecis.com.cn/,,
China Electronics Shenzhen Company - CN,https://www.cesz.com/en/,,0755-83783800
China Mobile International,https://www.cmi.chinamobile.com/en/,,
China Telecom Global Limited,https://www.chinatelecomglobal.com/,,
China Zhenhua,https://www.czelec.com.cn/,,
Chuwi Innovation and Technology (Shenzhen)Co.Ltd,https://WWW.CHUWI.COM,,
CI Gulf Distribution FZCO,https://cominfo.com.sg/,info@cominfo.com.sg,+65 6547 4777
CimTrak by Cimcor,https://www.cimcor.com,Sales@cimcor.com,+1 219-736-4400
Circu Li-ion,https://www.circuli-ion.com/,info@circuli-ion.com,+352 545 580 410
Cisco Systems International FZ-LLC,https://www.cisco.com/site/us/en/index.html,,
CitiXsys Limited,https://ivend.com,newyork@citixsys.com,+1 212 745 1365
Citizen Systems Europe GmbH,https://www.citizen-systems.com/,,
Citrix,https://cloudsw.com/partner/,,
CLA Malta,https://clamalta.com/,,
CleanWave,https://www.shopcleanwave.com,,
Clever Equine Solutions,https://www.cleverequinesolutions.com/,m.gieryn@cleverequinesolutions.com,+48 609 745 168
Cleverence Middle East FZCO,http://cleverence.com,,
Cleverpark,https://cleverparking.ru/,,
CLICKHOUSE,https://www.clickhouse.com,,
Cloud Solutions,https://www.cloudsolutions.com.sa/,,
Cloud.in,https://cloud.in,sales@cloud.in,+91-20-6608 0123
Cloud4C Services FZ LLC,https://www.cloud4c.com,,
Cloudangles,https://cloudangles.com/,,
cloudDFN,https://www.clouddfn.com,,
Cloudera Middle East FZ-LLC,https://www.cloudera.com/,,
Cloudflare Middle East FZ-LLC,https://www.cloudflare.com/en-gb/,,
Cloudiogram,https://cloudiogram.com,,
Cluster TIC Galicia,https://www.clusterticgalicia.com/,,
CMV TEKNOLOJI SANAYI VE TICARET LIMITED SIRKETI,https://www.cmvteknoloji.com/,info@cmvteknoloji.com,0532 317 76 55
CODE81,https://code81.com/,info@CODE81.com,+971 4 596 1960
CodeLabs Private Limited,https://www.codelabs.ae,info@codelabs.ae,+971 52 668 4165
Codepresso Inc,https://www.codepresso.io,,
Codetrade India Pvt. Ltd,https://www.codetrade.io,info@codetrade.io,+91 9428613980
CogLeap.AI,http://www.cogleapai.com,,
Cohesity,https://www.cohesity.com/,,
Colendi,https://www.colendi.com/,,
COLLIBRA,https://www.collibra.com/,,
COMBA TELECOM,https://www.comba-telecom.com,,
"Comfortel, LLC",https://comfortel.pro,sales@comfortel.pro,+7 812 670-00-00
Comify,https://www.comify.io,,
Comitas,https://www.comitas.ae,info@comitas.com,+41 44 745 17 77
CommerceCX,https://www.commercecx.com,,
"COMMSCOPE SOLUTIONS INTERNATIONAL, INC.",https://www.commscope.com/,,
Community Development Authority,https://www.cda.gov.ae/en/Pages/default.aspx,,
CommVault Systems Dubai,https://www.commvault.com,,
ComplianceSuite by INFOCREDIT GROUP LTD,https://compliancesuite.ai/,compliance@infocreditgroup.com,+442036705579
Comply.Land,https://comply.land,,
COMPUPRINT,https://www.compuprint.com,Sales@compuprint.com,+39(011)9892111
Compusouk LLC - AE,https://www.compusouk.com,info@compusouk.com,+971 4 351 8248
Computer Weekly,https://www.computerweekly.com/,,
Computer World WLL,https://www.cwbah.com,communique@cwbah.com,+973 1756 1818
"Comsense - ""Your Strategic AI Partner""",https://www.comsensetechnologies.com,connect@comsenseconsulting.com,Not found on website
Comtinu,https://comtinu.com/,sales@comtinu.com,(+971) 4 445 6799
Conacent Consulting Pvt Ltd,https://www.conacent.com,info@conacent.com,033 45020430
Concept To Completion Ltd,https://conceptstadium.com/,connect@conceptstadium.com,+356 2722 5587
Concept Wholesale LLC,https://www.conceptwholesale.com,support@conceptwholesale.com,727-403-3818
Connect Communication FZCO,http://www.connectfzco.com,,
"CONNECTEVE Co., Ltd",https://connecteve.com,,
Contact Advisory Services,https://www.contact.com.mt/,info@contact.com.mt,+356 2757 7000
Continental Technology FZCO,https://www.continentaltechnology.ae,,
